user_id,Recency,frequency,monetory,cluster
1.5159156255119242e+18,5,3,888.78,0
1.5159156255127944e+18,5,1,663.87,0
1.5159156254493148e+18,5,1,34.47,0
1.5159156255129677e+18,5,2,243.01,0
1.5159156255129969e+18,5,3,851.7900000000001,0
1.5159156255130043e+18,5,2,987.22,0
1.5159156255130102e+18,5,4,174.9,0
1.5159156255130086e+18,5,2,122.64,0
1.5159156255130186e+18,5,1,30.07,0
1.5159156255130132e+18,5,1,115.72,0
1.515915625442568e+18,5,1,35.39,0
1.5159156254427656e+18,5,1,185.16,0
1.5159156255130304e+18,5,2,729.0899999999999,0
1.5159156255130353e+18,5,2,474.47,0
1.5159156255128433e+18,5,1,462.94,0
1.5159156255130565e+18,5,4,2036.94,0
1.5159156255130565e+18,5,54,9584.43,0
1.5159156255129385e+18,5,2,1689.77,0
1.5159156254633943e+18,5,1,69.42,0
1.5159156254552983e+18,5,1,25.44,0
1.5159156255130893e+18,5,7,1030.83,0
1.515915625481646e+18,5,1,173.59,0
1.5159156255130972e+18,5,1,428.22,0
1.5159156255131108e+18,5,2,1029.82,0
1.5159156255131151e+18,5,3,668.9100000000001,0
1.5159156255131238e+18,5,1,358.77,0
1.5159156254760266e+18,5,2,845.9699999999999,0
1.5159156255130668e+18,5,1,381.9,0
1.515915625513056e+18,5,1,347.2,0
1.5159156255131364e+18,5,1,173.59,0
1.5159156255131407e+18,5,1,101.83,0
1.5159156255127923e+18,5,1,162.01,0
1.515915625513142e+18,5,1,648.13,0
1.5159156255131436e+18,5,3,587.66,0
1.5159156255131466e+18,5,1,289.31,0
1.5159156255131494e+18,5,2,289.31,0
1.5159156255131738e+18,5,7,3753.69,0
1.5159156255131748e+18,5,3,3726.55,0
1.5159156255131745e+18,5,4,2049.41,0
1.5159156254440184e+18,5,1,185.16,0
1.5159156255131845e+18,5,3,2458.23,0
1.5159156254813678e+18,5,1,203.68,0
1.5159156255126513e+18,5,1,17.34,0
1.5159156255132037e+18,5,8,22720.38,3
1.5159156255132104e+18,5,4,2268.19,0
1.51591562551321e+18,5,2,1851.34,0
1.5159156255132047e+18,5,3,421.38,0
1.5159156255132204e+18,5,1,87.92,0
1.5159156255132076e+18,5,1,118.73,0
1.5159156255132252e+18,5,4,1828.62,0
1.5159156255132324e+18,5,2,26.79,0
1.5159156255128271e+18,5,1,347.2,0
1.5159156255132406e+18,5,7,2384.09,0
1.5159156255132393e+18,5,1,203.68,0
1.5159156255132506e+18,5,1,39.33,0
1.5159156255132634e+18,5,5,3361.2200000000003,0
1.5159156255105969e+18,5,1,2.52,0
1.5159156254510164e+18,5,2,1203.66,0
1.5159156255132616e+18,5,4,707.77,0
1.515915625513283e+18,5,3,1157.11,0
1.515915625513286e+18,5,1,127.29,0
1.515915625513289e+18,5,4,1003.15,0
1.5159156255133015e+18,5,4,2485.79,0
1.5159156255126904e+18,5,3,705.45,0
1.515915625513317e+18,5,1,254.61,0
1.515915625513319e+18,5,3,1013.74,0
1.515915625513324e+18,5,3,467.53,0
1.515915625497012e+18,5,1,173.59,0
1.515915625513336e+18,5,1,99.75,0
1.5159156255133404e+18,5,2,34.21,0
1.515915625446595e+18,5,1,104.14,0
1.5159156255133478e+18,5,3,532.3299999999999,0
1.515915625451152e+18,5,1,370.35,0
1.515915625513234e+18,5,1,435.16,0
1.5159156255132982e+18,5,3,1944.39,0
1.5159156255133617e+18,5,1,879.61,0
1.5159156255133678e+18,5,2,416.62,0
1.515915625513374e+18,5,11,3245.0999999999995,0
1.5159156254765622e+18,5,1,78.68,0
1.5159156255133804e+18,5,3,2013.36,0
1.5159156255133924e+18,5,2,18.24,0
1.515915625513393e+18,5,1,335.63,0
1.5159156254792463e+18,5,1,300.9,0
1.515915625513397e+18,5,1,358.77,0
1.515915625513428e+18,5,2,1087.6799999999998,0
1.5159156254966085e+18,5,1,134.21,0
1.5159156255134472e+18,5,40,8181.139999999999,0
1.5159156255102395e+18,5,1,856.23,0
1.5159156254413773e+18,5,1,403.45,0
1.5159156255134676e+18,5,1,300.67,0
1.5159156255134804e+18,5,1,311.73,0
1.5159156254503752e+18,5,1,2.29,0
1.5159156255134876e+18,5,1,300.9,0
1.5159156254543345e+18,5,1,1435.16,0
1.515915625481239e+18,5,1,300.9,0
1.515915625513503e+18,5,1,532.38,0
1.51591562548186e+18,5,1,79.78999999999999,0
